239	240	+N	<eps>
240	241	+SG	<eps>
241	0	<eps>	#
240	242	+PL	^s
242	0	<eps>	#
235	243	r	r
243	244	e	e
244	245	q	q
245	246	u	u
246	247	e	e
247	248	n	n
248	249	t	t
249	250	+N	<eps>
250	251	+SG	<eps>
251	0	<eps>	#
250	252	+PL	^s
252	0	<eps>	#
249	253	-	<eps>
253	254	<eps>	^
254	255	c	c
255	256	y	y
256	257	+ADJ	<eps>
257	0	<eps>	#
249	258	-	<eps>
258	259	<eps>	^
259	260	a	a
260	261	t	t
261	262	i	i
262	263	o	o
263	264	n	n
264	265	+N	<eps>
265	0	<eps>	#
264	266	+PL	^s
266	0	<eps>	#
266	268	+PLPS	'
268	0	<eps>	#
264	267	+SGPS	's
267	0	<eps>	#
249	269	-	<eps>
269	270	<eps>	^
270	271	a	a
271	272	t	t
272	273	i	i
273	274	v	v
274	275	e	e
275	276	+ADJ	<eps>
276	0	<eps>	#
249	277	-	<eps>
277	278	<eps>	^
278	279	e	e
279	280	r	r
280	281	+N	<eps>
281	0	<eps>	#
280	282	+PL	^s
282	0	<eps>	#
282	284	+PLPS	'
284	0	<eps>	#
280	283	+SGPS	's
283	0	<eps>	#
249	285	-	<eps>
285	286	<eps>	^
286	287	l	l
287	288	y	y
288	289	+ADV	<eps>
289	0	<eps>	#
244	290	s	s
290	291	h	h
291	292	+N	<eps>
292	293	+SG	<eps>
293	0	<eps>	#
292	294	+PL	^s
294	0	<eps>	#
291	295	-	<eps>
295	296	<eps>	^
296	297	e	e
297	298	n	n
298	299	+V	<eps>
299	0	<eps>	#
298	300	+3D	^s
300	0	<eps>	#
298	301	+ING	^ing
301	0	<eps>	#
298	302	-	<eps>
302	303	<eps>	^
303	304	e	e
304	305	r	r
305	306	+N	<eps>
306	0	<eps>	#
305	307	+PL	^s
307	0	<eps>	#
307	309	+PLPS	'
309	0	<eps>	#
305	308	+SGPS	's
308	0	<eps>	#
291	310	-	<eps>
310	311	<eps>	^
311	312	l	l
312	313	y	y
313	314	+N	<eps>
314	0	<eps>	#
313	315	+PL	^s
315	0	<eps>	#
315	317	+PLPS	'
317	0	<eps>	#
313	316	+SGPS	's
316	0	<eps>	#
0	318	h	h
318	319	a	a
319	320	p	p
320	321	p	p
321	322	y	y
322	323	+N	<eps>
323	324	+SG	<eps>
324	0	<eps>	#
323	325	+PL	^s
325	0	<eps>	#
322	326	-	<eps>
326	327	<eps>	^
327	328	l	l
328	329	y	y
329	330	+ADV	<eps>
330	0	<eps>	#
322	331	-	<eps>
331	332	<eps>	^
332	333	n	n
333	334	e	e
334	335	s	s
335	336	s	s
336	337	+N	<eps>
337	0	<eps>	#
336	338	+PL	^s
338	0	<eps>	#
338	340	+PLPS	'
340	0	<eps>	#
336	339	+SGPS	's
339	0	<eps>	#
318	341	o	o
341	342	n	n
342	343	e	e
343	344	s	s
344	345	t	t
345	346	+N	<eps>
346	347	+SG	<eps>
347	0	<eps>	#
346	348	+PL	^s
348	0	<eps>	#
345	349	-	<eps>
349	350	<eps>	^
350	351	y	y
351	352	+N	<eps>
352	0	<eps>	#
351	353	+PL	^s
353	0	<eps>	#
353	355	+PLPS	'
355	0	<eps>	#
351	354	+SGPS	's
354	0	<eps>	#
345	356	-	<eps>
356	357	<eps>	^
357	358	l	l
358	359	y	y
359	360	+ADV	<eps>
360	0	<eps>	#
345	361	-	<eps>
361	362	<eps>	^
362	363	n	n
363	364	e	e
364	365	s	s
365	366	s	s
366	367	+N	<eps>
367	0	<eps>	#
366	368	+PL	^s
368	0	<eps>	#
368	370	+PLPS	'
370	0	<eps>	#
366	369	+SGPS	's
369	0	<eps>	#
318	371	u	u
371	372	n	n
372	373	g	g
373	374	r	r
374	375	y	y
375	376	+N	<eps>
376	377	+SG	<eps>
377	0	<eps>	#
376	378	+PL	^s
378	0	<eps>	#
375	379	-	<eps>
379	380	<eps>	^
380	381	l	l
381	382	y	y
382	383	+ADV	<eps>
383	0	<eps>	#
375	384	-	<eps>
384	385	<eps>	^
385	386	n	n
386	387	e	e
387	388	s	s
388	389	s	s
389	390	+N	<eps>
390	0	<eps>	#
389	391	+PL	^s
391	0	<eps>	#
391	393	+PLPS	'
393	0	<eps>	#
389	392	+SGPS	's
392	0	<eps>	#
0	394	i	i
394	395	n	n
395	396	n	n
396	397	o	o
397	398	c	c
398	399	e	e
399	400	n	n
400	401	t	t
401	402	+N	<eps>
402	403	+SG	<eps>
403	0	<eps>	#
402	404	+PL	^s
404	0	<eps>	#
0	405	j	j
405	406	u	u
406	407	s	s
407	408	t	t
408	409	+N	<eps>
409	410	+SG	<eps>
410	0	<eps>	#
409	411	+PL	^s
411	0	<eps>	#
408	412	-	<eps>
412	413	<eps>	^
413	414	i	i
414	415	f	f
415	416	y	y
416	417	+V	<eps>
417	0	<eps>	#
416	418	+3D	^s
418	0	<eps>	#
416	419	+ING	^ing
419	0	<eps>	#
408	420	-	<eps>
420	421	<eps>	^
421	422	l	l
422	423	y	y
423	424	+ADV	<eps>
424	0	<eps>	#
408	425	-	<eps>
425	426	<eps>	^
426	427	i	i
427	428	c	c
428	429	e	e
429	430	+N	<eps>
430	0	<eps>	#
429	431	+PL	^s
431	0	<eps>	#
431	433	+PLPS	'
433	0	<eps>	#
429	432	+SGPS	's
432	0	<eps>	#
0	434	k	k
434	435	i	i
435	436	n	n
436	437	d	d
437	438	(	(
438	439	-	-
439	440	l	l
440	441	y	y
441	442	:	:
442	443	+	+
443	444	A	A
444	445	D	D
445	446	V	V
446	447	)	)
447	448	+N	<eps>
448	449	+SG	<eps>
449	0	<eps>	#
448	450	+PL	^s
450	0	<eps>	#
0	451	l	l
451	452	a	a
452	453	z	z
453	454	y	y
454	455	+N	<eps>
455	456	+SG	<eps>
456	0	<eps>	#
455	457	+PL	^s
457	0	<eps>	#
454	458	-	<eps>
458	459	<eps>	^
459	460	l	l
460	461	y	y
461	462	+ADV	<eps>
462	0	<eps>	#
454	463	-	<eps>
463	464	<eps>	^
464	465	n	n
465	466	e	e
466	467	s	s
467	468	s	s
468	469	+N	<eps>
469	0	<eps>	#
468	470	+PL	^s
470	0	<eps>	#
470	472	+PLPS	'
472	0	<eps>	#
468	471	+SGPS	's
471	0	<eps>	#
0	473	m	m
473	474	a	a
474	475	d	d
475	476	+N	<eps>
476	477	+SG	<eps>
477	0	<eps>	#
476	478	+PL	^s
478	0	<eps>	#
475	479	-	<eps>
479	480	<eps>	^
480	481	l	l
481	482	y	y
482	483	+ADV	<eps>
483	0	<eps>	#
475	484	-	<eps>
484	485	<eps>	^
485	486	n	n
486	487	e	e
487	488	s	s
488	489	s	s
489	490	+N	<eps>
490	0	<eps>	#
489	491	+PL	^s
491	0	<eps>	#
491	493	+PLPS	'
493	0	<eps>	#
489	492	+SGPS	's
492	0	<eps>	#
473	494	e	e
494	495	r	r
495	496	r	r
496	497	y	y
497	498	+N	<eps>
498	499	+SG	<eps>
499	0	<eps>	#
498	500	+PL	^s
500	0	<eps>	#
497	501	-	<eps>
501	502	<eps>	^
502	503	l	l
503	504	y	y
504	505	+ADV	<eps>
505	0	<eps>	#
497	506	-	<eps>
506	507	<eps>	^
507	508	n	n
508	509	e	e
509	510	s	s
510	511	s	s
511	512	+N	<eps>
512	0	<eps>	#
511	513	+PL	^s
513	0	<eps>	#
513	515	+PLPS	'
515	0	<eps>	#
511	514	+SGPS	's
514	0	<eps>	#
473	516	o	o
516	517	r	r
517	518	t	t
518	519	a	a
519	520	l	l
520	521	+N	<eps>
521	522	+SG	<eps>
522	0	<eps>	#
521	523	+PL	^s
523	0	<eps>	#
0	524	n	n
524	525	e	e
525	526	r	r
526	527	v	v
527	528	e	e
528	529	+N	<eps>
529	530	+SG	<eps>
530	0	<eps>	#
529	531	+PL	^s
531	0	<eps>	#
0	532	o	o
532	533	b	b
533	534	n	n
534	535	o	o
535	536	x	x
536	537	i	i
537	538	o	o
538	539	u	u
539	540	s	s
540	541	+N	<eps>
541	542	+SG	<eps>
542	0	<eps>	#
541	543	+PL	^s
543	0	<eps>	#
540	544	-	<eps>
544	545	<eps>	^
545	546	l	l
546	547	y	y
547	548	+ADV	<eps>
548	0	<eps>	#
540	549	-	<eps>
549	550	<eps>	^
550	551	n	n
551	552	e	e
552	553	s	s
553	554	s	s
554	555	+N	<eps>
555	0	<eps>	#
554	556	+PL	^s
556	0	<eps>	#
556	558	+PLPS	'
558	0	<eps>	#
554	557	+SGPS	's
557	0	<eps>	#
0	559	p	p
559	560	o	o
560	561	l	l
561	562	i	i
562	563	t	t
563	564	e	e
564	565	+N	<eps>
565	566	+SG	<eps>
566	0	<eps>	#
565	567	+PL	^s
567	0	<eps>	#
564	568	-	<eps>
568	569	<eps>	^
569	570	l	l
570	571	y	y
571	572	+ADV	<eps>
572	0	<eps>	#
564	573	-	<eps>
573	574	<eps>	^
574	575	n	n
575	576	e	e
576	577	s	s
577	578	s	s
578	579	+N	<eps>
579	0	<eps>	#
578	580	+PL	^s
580	0	<eps>	#
580	582	+PLPS	'
582	0	<eps>	#
578	581	+SGPS	's
581	0	<eps>	#
560	583	o	o
583	584	r	r
584	585	+N	<eps>
585	586	+SG	<eps>
586	0	<eps>	#
585	587	+PL	^s
587	0	<eps>	#
584	588	-	<eps>
588	589	<eps>	^
589	590	l	l
590	591	y	y
591	592	+ADV	<eps>
592	0	<eps>	#
591	593	-	<eps>
593	594	<eps>	^
594	595	n	n
595	596	e	e
596	597	s	s
597	598	s	s
598	599	+N	<eps>
599	0	<eps>	#
598	600	+PL	^s
600	0	<eps>	#
600	602	+PLPS	'
602	0	<eps>	#
598	601	+SGPS	's
601	0	<eps>	#
0	603	r	r
603	604	a	a
604	605	p	p
605	606	i	i
606	607	d	d
607	608	+N	<eps>
608	609	+SG	<eps>
609	0	<eps>	#
608	610	+PL	^s
610	0	<eps>	#
607	611	-	<eps>
611	612	<eps>	^
612	613	l	l
613	614	y	y
614	615	+ADV	<eps>
615	0	<eps>	#
607	616	-	<eps>
616	617	<eps>	^
617	618	n	n
618	619	e	e
619	620	s	s
620	621	s	s
621	622	+N	<eps>
622	0	<eps>	#
621	623	+PL	^s
623	0	<eps>	#
623	625	+PLPS	'
625	0	<eps>	#
621	624	+SGPS	's
624	0	<eps>	#
604	626	r	r
626	627	e	e
627	628	+N	<eps>
628	629	+SG	<eps>
629	0	<eps>	#
628	630	+PL	^s
630	0	<eps>	#
627	631	-	<eps>
631	632	<eps>	^
632	633	l	l
633	634	y	y
634	635	+ADV	<eps>
635	0	<eps>	#
627	636	-	<eps>
636	637	<eps>	^
637	638	n	n
638	639	e	e
639	640	s	s
640	641	s	s
641	642	+ADJ	<eps>
642	0	<eps>	#
603	643	u	u
643	644	d	d
644	645	e	e
645	646	+N	<eps>
646	647	+SG	<eps>
647	0	<eps>	#
646	648	+PL	^s
648	0	<eps>	#
645	649	-	<eps>
649	650	<eps>	^
650	651	l	l
651	652	y	y
652	653	+ADV	<eps>
653	0	<eps>	#
645	654	-	<eps>
654	655	<eps>	^
655	656	n	n
656	657	e	e
657	658	s	s
658	659	s	s
659	660	N	<eps>
660	0	<eps>	#
0	661	s	s
661	662	a	a
662	663	f	f
663	664	e	e
664	665	+N	<eps>
665	666	+SG	<eps>
666	0	<eps>	#
665	667	+PL	^s
667	0	<eps>	#
664	668	-	<eps>
668	669	<eps>	^
669	670	l	l
670	671	y	y
671	672	+ADV	<eps>
672	0	<eps>	#
664	673	-	<eps>
673	674	<eps>	^
674	675	n	n
675	676	e	e
676	677	s	s
677	678	s	s
678	679	+N	<eps>
679	0	<eps>	#
678	680	+PL	^s
680	0	<eps>	#
680	682	+PLPS	'
682	0	<eps>	#
678	681	+SGPS	's
681	0	<eps>	#
661	683	e	e
683	684	r	r
684	685	i	i
685	686	o	o
686	687	u	u
687	688	s	s
688	689	+N	<eps>
689	690	+SG	<eps>
690	0	<eps>	#
689	691	+PL	^s
691	0	<eps>	#
688	692	-	<eps>
692	693	<eps>	^
693	694	l	l
694	695	y	y
695	696	+ADV	<eps>
696	0	<eps>	#
688	697	-	<eps>
697	698	<eps>	^
698	699	n	n
699	700	e	e
700	701	s	s
701	702	s	s
702	703	+N	<eps>
703	0	<eps>	#
702	704	+PL	^s
704	0	<eps>	#
704	706	+PLPS	'
706	0	<eps>	#
702	705	+SGPS	's
705	0	<eps>	#
661	707	h	h
707	708	a	a
708	709	r	r
709	710	p	p
710	711	+N	<eps>
711	712	+SG	<eps>
712	0	<eps>	#
711	713	+PL	^s
713	0	<eps>	#
710	714	-	<eps>
714	715	<eps>	^
715	716	l	l
716	717	y	y
717	718	+ADV	<eps>
718	0	<eps>	#
710	719	-	<eps>
719	720	<eps>	^
720	721	e	e
721	722	n	n
722	723	+V	<eps>
723	0	<eps>	#
722	724	+3D	^s
724	0	<eps>	#
722	725	+ING	^ing
725	0	<eps>	#
722	726	-	<eps>
726	727	<eps>	^
727	728	e	e
728	729	r	r
729	730	+N	<eps>
730	0	<eps>	#
729	731	+PL	^s
731	0	<eps>	#
731	733	+PLPS	'
733	0	<eps>	#
729	732	+SGPS	's
732	0	<eps>	#
661	734	l	l
734	735	o	o
735	736	w	w
736	737	+N	<eps>
737	738	+SG	<eps>
738	0	<eps>	#
737	739	+PL	^s
739	0	<eps>	#
661	740	o	o
740	741	l	l
741	742	e	e
742	743	m	m
743	744	n	n
744	745	+N	<eps>
745	746	+SG	<eps>
746	0	<eps>	#
745	747	+PL	^s
747	0	<eps>	#
744	748	-	<eps>
748	749	<eps>	^
749	750	l	l
750	751	y	y
751	752	+ADV	<eps>
752	0	<eps>	#
744	753	-	<eps>
753	754	<eps>	^
754	755	i	i
755	756	t	t
756	757	y	y
757	758	+N	<eps>
758	0	<eps>	#
757	759	+PL	^s
759	0	<eps>	#
759	761	+PLPS	'
761	0	<eps>	#
757	760	+SGPS	's
760	0	<eps>	#
744	762	-	<eps>
762	763	<eps>	^
763	764	i	i
764	765	z	z
